model,Frag/Test,IntDiv,IntDiv2,Novelty,QED,SA,SNN/Test,Scaf/Test,logP,unique@1000,unique@10000,valid,weight
30k\dnc_30k_benzene_max.txt,0.469,0.804,0.786,0.996,0.13,0.169,0.358,0.06,2.734,0.893,0.785,0.967,55.246
30k\dnc_30k_benzene_min.txt,0.823,0.888,0.88,0.993,0.027,0.441,0.346,0.053,2.652,0.995,0.974,0.926,109.071
30k\dnc_30k_logp_max.txt,0.727,0.852,0.842,0.997,0.02,0.266,0.368,0.193,1.185,0.998,0.993,0.949,80.512
30k\dnc_30k_logp_min.txt,0.878,0.885,0.877,0.991,0.045,0.26,0.375,0.126,2.498,0.998,0.993,0.922,91.701
30k\dnc_30k_unbiased.txt,0.991,0.883,0.876,0.98,0.092,0.1,0.444,0.51,0.837,1.0,0.999,0.945,85.32
30k\ntm_30k_benzene_max.txt,0.787,0.823,0.809,0.987,0.038,0.681,0.46,0.137,0.852,0.925,0.789,0.96,63.956
30k\ntm_30k_benzene_min.txt,0.766,0.801,0.78,0.995,0.306,0.105,0.441,0.157,2.451,0.985,0.954,0.898,67.582
30k\ntm_30k_logp_max.txt,0.795,0.847,0.837,0.997,0.03,0.178,0.392,0.221,1.018,0.989,0.95,0.951,90.101
30k\ntm_30k_logp_min.txt,0.88,0.9,0.888,0.985,0.029,0.153,0.372,0.27,2.362,0.975,0.927,0.958,127.346
30k\ntm_30k_unbiased.txt,0.994,0.883,0.876,0.975,0.081,0.108,0.447,0.531,0.683,1.0,0.998,0.95,81.317
30k\stack_30k_benzene_max.txt,0.84,0.836,0.831,0.998,0.307,0.611,0.35,0.198,1.031,0.998,0.995,0.878,168.87
30k\stack_30k_benzene_min.txt,0.739,0.865,0.851,0.995,0.044,0.656,0.365,0.038,2.242,0.992,0.965,0.935,63.338
30k\stack_30k_logp_max.txt,0.925,0.881,0.872,0.994,0.037,0.213,0.387,0.381,0.797,1.0,0.998,0.951,68.516
30k\stack_30k_logp_min.txt,0.869,0.862,0.853,0.994,0.034,0.358,0.373,0.13,2.029,0.997,0.986,0.968,53.257
30k\stack_30k_unbiased.txt,0.992,0.882,0.876,0.983,0.089,0.077,0.432,0.487,0.713,1.0,0.999,0.93,80.801
30k\baseline_gru_30k_unbiased.txt,0.986,0.884,0.877,0.988,0.076,0.107,0.408,0.447,0.629,1.0,0.998,0.824,84.541
30k\baseline_lstm_30k_unbiased.txt,0.993,0.882,0.875,0.984,0.081,0.089,0.434,0.489,0.659,1.0,0.999,0.934,80.278
30k\baseline_simple_30k_unbiased.txt,0.96,0.883,0.875,0.986,0.08,0.244,0.377,0.348,0.836,1.0,0.982,0.322,117.837
